ID,NAME,ISO,GLOTTOCODE
191,Doka,dbi,
247,Lungu (Idun),ldb,
296,Nkwen Mandankwe (Mendankwe-Nkwen),mfd,
295,Nkwen (Mendankwe-Nkwen),mfd,
208,Alege,alf,
278,"Mbembe Adun (Mbembe, Cross River)",mfn,
224,Mbe,mfo,
301,Ngwe Fontem (Ngwe),nwe,
231,Ngwe,nwe,
275,Akunakuna of Thomas (Agwagwune),yay,
237,Kamuku of Rowlands (Cinda-Regi-Tiyal),cdr,
243,Janji,jni,
189,Sheni,scv,
229,Kom,bkm,
267,Jibu,jib,
268,Jibu in Meek (Jibu),jib,
230,Bafut,bfd,
234,Medumba,byv,
297,Megaka (Mengaka),xmg,
282,Zhar (Jarawa),jar,
283,Gingwak (Jarawa),jar,
184,Piti,pcn,
311,Mbo Central (Bakaka),bqz,
200,Tyap,kcg,
262,Sholio (Tyap),kcg,
249,Vaghat (Vaghat-Ya-Bijim-Legeri),bij,
250,Ya (Vaghat-Ya-Bijim-Legeri),bij,
186,Amo,amo,
228,Meta',mgo,
220,Kiong,kkm,
233,Mungaka,mhk,
194,Cori,cry,
308,Shu Pamen (Bamun),bax,
193,Shamang,xsh,
264,Eregba (Kpan),kpk,
280,Batu of Meek (Batu),btu,
207,Bete-Bendi,btt,
196,Che,ruk,
227,Nnam,nbp,
217,Nkukoli,nbo,
284,Ekparabong (Ndoe),nbb,
285,Balep (Ndoe),nbb,
252,Nindem (Kaningkom-Nindem),kdp,
265,Kentu (Etkywan),ich,
266,Nyidu (Etkywan),ich,
298,Ngomba Bamendjina (Ngomba),jgo,
181,Reshe,res,
225,Abanyom,abm,
221,Abon,abo,
310,East Oroko (Oroko),bdu,
260,Rigwe (Irigwe),iri,
261,Northeast Izere (Izere),izr,
199,Jju,kaj,
215,Umon,umm,
293,Lower Kenyang (Kenyang),ken,
213,Kukele,kez,
273,Ufia (Oring),org,
274,Okpoto (Oring),org,
276,Olulumo (Olulumo-Ikom),iko,
277,Ikom (Olulumo-Ikom),iko,
258,Aten 1 (Eten),etx,
259,Aten 2 (Eten),etx,
294,Bamessing (Kenswei Nsei),ndb,
288,Nta (Nde-Nsele-Nta),ndd,
286,Nde (Nde-Nsele-Nta),ndd,
287,Nsele (Nde-Nsele-Nta),ndd,
291,Ekajuk 1 (Ekajuk),eka,
292,Ekajuk 2 (Ekajuk),eka,
238,Lela (C'lela),dri,
188,Kurama,krh,
279,Ukpet (Ukpet-Ehom),akd,
236,Agaushi (Tsikimba),kdl,
251,Gyong (Kagoma),kdm,
192,Ashe,ahs,
222,Mbula-Bwazza,mbu,
244,Bunu (Jere),jer,
245,Buji (Jere),jer,
219,Leyigha,ayi,
304,Yogam (Ghomálá'),bbj,
305,Te (Ghomálá'),bbj,
302,Fusap (Ghomálá'),bbj,
303,Jo (Ghomálá'),bbj,
216,Lokaa,yaz,
223,Mama,mma,
183,Hun-Saare,dud,
232,Fe'fe',fmp,
306,Tungi (Fe'fe'),fmp,
197,Ayu,ayu,
246,Kulu 1 (Kulung),bbu,
240,Camo (Kudu-Camo),kov,
239,Kudu (Kudu-Camo),kov,
204,Wannu,jub,
205,Wapan,juk,
269,Jukun of Gwana (Hõne),juh,
187,Surubu,sde,
272,Oloibiri 1 (Ogbia),ogb,
203,Tarok,yer,
248,Hyam of Nok (Hyam),jab,
235,Hasha,ybj,
198,Ake,aik,
299,Yemba Bafou 1 (Yemba),ybb,
300,Yemba Bafou 2 (Yemba),ybb,
182,Fungwa,ula,
212,Obolo,ann,
256,Nungu 1 (Nungu),rin,
257,Nungu 2 (Nungu),rin,
190,Kuturmi,khj,
210,Anaang,anw,
307,Ndanda (Nda'nda'),nnz,
202,Eloyi,afo,
289,Nkem (Nkem-Nkum),isi,
290,Nkum (Nkem-Nkum),isi,
211,Efik,efi,
209,Gokana,gkn,
241,Gbiri (Gbiri-Niragu),grh,
242,Niragu (Gbiri-Niragu),grh,
195,Ninzo,nin,
281,Jaku (Labir),jku,
206,Bekwarra,bkv,
201,Horom,hoe,
263,Fyem (Fyam),pym,
270,Bokyi of Abu (Bokyi),bky,
271,Bokyi of Erwe (Bokyi),bky,
309,Mamenyan (Bamenyam),bce,
218,Legbo,agb,
253,Eggon 1 (Eggon),ego,
254,Eggon 2 (Eggon),ego,
255,Eggon 3 (Eggon),ego,
185,Atsam,cch,
226,Efutop,ofu,
214,Kohumono,bcs,
